Name,Active substance,Amount of substance,Form,Prescription type
Catalin,Pirenoxinum natricum 0.85 mg,0.75 mg,Tabletka i rozpuszczalnik do sporządzania kropli do oczu,Rp
Cavinton,Vinpocetinum 10 mg,5 mg/ml,Koncentrat do sporządzania roztworu do infuzji,Rp
Cavinton,Vinpocetinum 5 mg,5 mg,Tabletki,Rp
Cebion,Acidum ascorbicum 100 mg,0.1 g/ml,Krople doustne. roztwór,OTC
Ceclor,Cefaclorum 125 mg/5 ml,125 mg/5 ml,Granulat do sporządzania zawiesiny doustnej,Rp
Ceclor,Cefaclorum 250 mg/5 ml,250 mg/5 ml,Granulat do sporządzania zawiesiny doustnej,Rp
Ceclor MR,Cefaclorum 375 mg,375 mg,Tabletki powlekane o przedłużonym uwalnianiu,Rp
Ceclor MR,Cefaclorum 500 mg,500 mg,Tabletki powlekane o przedłużonym uwalnianiu,Rp
Ceclor MR,Cefaclorum 750 mg,750 mg,Tabletki powlekane o przedłużonym uwalnianiu,Rp
Cefaleksyna TZF,Cefalexinum monohydricum 500 mg,500 mg,Kapsułki twarde,Rp
Cefalgin Migraplus,Paracetamolum 250 mg + Propyphenazonum 150 mg + Coffeinum 50 mg,250 mg + 150 mg + 50 mg,Tabletki,OTC
Celestone,Betamethasoni natrii phosphas 4 mg/ml,4 mg/ml,Roztwór do wstrzykiwań,Rp
Normosan,Carvi fructus 35 g + Frangulae cortex 20 g + Sambuci fructus 18 g + Sennae foliolum 10 g + Menthae piperitae folium 17 g,22.02-29.79 mg antrapochodnych w przeliczeniu na glukofrangulinę A/1.4 g,Zioła do zaparzania,OTC
Cepan,Allii cepae extractum 20 g/100 g + Chamomillae tinctura 5 g/100 g + Heparinum natricum 5000 j./100 g + Allantoinum 1 g/100 g,-,Krem,OTC
Aerinaze,Desloratadinum 2.5 mg + Pseudoephedrini sulfas 120 mg,2.5 mg + 120 mg,Tabletki o zmodyfikowanym uwalnianiu,Rp
Cernevit,Retinoli palmitas 3500 j.m. + Cholecalciferolum 220 j.m. + DL-alpha-Tocopherolum 10.2 mg + Acidum ascorbicum 125 mg + Cocarboxylasum tetrahydricum 5.8 mg + Natrii riboflavini phosphas 5.67 mg + Pyridoxini hydrochloridum 5.5 mg + Cyanocobalaminum 6 mcg + Acidum folicum 414 mcg + dekspantenol 16.15 mg + Biotinum 69 mcg + Nicotinamidum 46 mg,-,Proszek do sporządzania roztworu do wstrzykiwań i infuzji,Rp
Chlorchinaldin,Chlorquinaldolum 0.6 g,30 mg/g,Maść,Rp
Chlorchinaldin VP,Chlorquinaldolum 2 mg,2 mg,Tabletki do ssania,OTC
Chlorchinaldin H,Chlorquinaldolum 30 mg/g + Hydrocortisoni acetas 10 mg/g,(30 mg + 10 mg)/g,Maść,Rp
Chlorocyclinum 3%,Chlortetracyclini hydrochloridum 30 mg/g,30 mg/g,Maść,Rp
Chloropernazinum,Prochlorperazini dimaleas 10 mg,10 mg,Tabletki,Rp
Chlorprothixen Zentiva,Chlorprothixeni hydrochloridum 50 mg,50 mg,Tabletki powlekane,Rp
Cholestil,Hymecromonum 200 mg,200 mg,Tabletki,Rp
Cholinex,Cholini salicylas 150 mg,150 mg,Pastylki twarde,OTC
Cholitol,Curcumae tinctura 30 g + Taraxaci succus 25 g + Valerianae tinctura 15 g + Menthae piperitae tinctura 12 g + Cynarae tinctura 11 g + Belladonnae tinctura 7 g,-,Płyn doustny,OTC
Cinnarizinum WZF,Cinnarizinum 25 mg,25 mg,Tabletki,Rp
Ciprinol,Ciprofloxacinum 100 mg,10 mg/ml,Koncentrat do sporządzania roztworu do infuzji,Rp
Ciprinol,Ciprofloxacini hydrochloridum 582 mg,500 mg,Tabletki powlekane,Rp
Cipronex,Ciprofloxacini hydrochloridum 291 mg,250 mg,Tabletki powlekane,Rp
Cipronex,Ciprofloxacini hydrochloridum 582 mg,500 mg,Tabletki powlekane,Rp
Citrolyt,Kalii citras 46.4 g/100 g + Natrii citras 39.1 g/100 g + Acidum citricum 14.5 g/100 g,(46.4 g + 39.1 g + 14.5 g)/100 g,Granulat do sporządzania roztworu doustnego,Rp
Claritine,Loratadinum 1 mg/ml,1 mg/ml,Syrop,Rp
Claritine,Loratadinum 10 mg,10 mg,Tabletki,Rp
Doxar,Doxazosini mesilas 1.21 mg,1 mg,Tabletki,Rp
Clemastinum WZF,Clemastini fumaras 1.34 mg,1 mg/ml,Roztwór do wstrzykiwań,Rp
Clemastinum WZF,Clemastini fumaras 1.34 mg,1 mg,Tabletki,Rp
Clexane,Enoxaparinum natricum 20 mg,2000 j.m. (20 mg)/0.2 ml,Roztwór do wstrzykiwań,Rp
Clexane,Enoxaparinum natricum 40 mg/0.4 ml,4000 j.m. (40 mg)/0.4 ml,Roztwór do wstrzykiwań,Rp
Clonazepamum TZF,Clonazepamum 1 mg/ml,1 mg/ml,Roztwór do wstrzykiwań,Rp
Clonazepamum TZF,Clonazepamum 2 mg,2 mg,Tabletki,Rp
Clonazepamum TZF,Clonazepamum 50 mg,0.5 mg,Tabletki,Rp
Clopamid VP,Clopamidum 20 mg,20 mg,Tabletki,Rp
Clopixol,Zuclopenthixoli dihydrochloridum,25 mg,Tabletki powlekane,Rp
Clopixol-Depot,Zuclopenthixoli decanoas 200 mg,200 mg,Roztwór do wstrzykiwań,Rp
Clostilbegyt,Clomifeni citras 50 mg,50 mg,Tabletki,Rp
Clotrimazolum GSK,Clotrimazolum 1 g,10 mg/g,Krem,OTC
Clotrimazolum Medana,Clotrimazolum 1 g,10 mg/ml,Płyn na skórę,OTC
Clotrimazolum GSK,Clotrimazolum 100 mg,100 mg,Tabletki dopochwowe,Rp
Coaxil,Tianeptinum 12.5 mg,12.5 mg,Tabletki powlekane,Rp
Coffecorn forte,Ergotamini tartras 1 mg + Coffeinum 100 mg,1 mg + 100 mg,Tabletki drażowane,Rp
Coffecorn mite,Ergotamini tartras 0.5 mg + Coffeinum 25 mg,500 mcg + 25 mg,Tabletki drażowane,Rp
Coldrex MaxGrip C,Paracetamolum 500 mg + Coffeinum 25 mg + Phenylephrini hydrochloridum 5 mg + Terpini hydras 20 mg + Acidum ascorbicum 38 mg,-,Tabletki,OTC
Coldrex o smaku cytrynowym,Paracetamolum 750 mg + Phenylephrini hydrochloridum 10 mg + Acidum ascorbicum 60 mg,(750 mg + 10 mg + 60 mg)/5 g,Proszek do sporządzania roztworu doustnego,OTC
Colistin TZF,Colistimethatum natricum 1000000 j.m.,1 000 000 j.m.,Liofilizat do sporządzania roztworu do wstrzykiwań. infuzji i inhalacji,Rp
Elocom,Mometasoni furoas 1 mg,1 mg/g,Płyn na skórę,Rp
Concor 10,Bisoprololi fumaras 10 mg,10 mg,Tabletki powlekane,Rp
Concor 5,Bisoprololi fumaras 5 mg,5 mg,Tabletki powlekane,Rp
Metafen Ibuprofen,Ibuprofenum 200 mg,200 mg,Tabletki powlekane,OTC
Condyline,Podophyllotoxinum 5 mg/ml,5 mg/ml,Roztwór na skórę,Rp
Contractubex,Heparinum natricum 50 IU + Allii cepae extractum 100 mg + Allantoinum 10 mg,(50 IU + 100 mg + 10 mg)/g,Żel,OTC
Controloc 40,Pantoprazolum 40 mg,40 mg,Tabletki dojelitowe,Rp
Convafort,Convallariae majalis extractum siccum 15.7 mg,15.7 mg,Tabletki drażowane,OTC
Convulex 300,Acidum valproicum 300 mg,300 mg,Kapsułki miękkie,Rp
Convulex,Acidum valproicum 500 mg,500 mg,Kapsułki miękkie,Rp
Cordarone,Amiodaroni hydrochloridum 200 mg,200 mg,Tabletki,Rp
Corneregel,Dexpanthenolum 50 mg/g,50 mg/g,Żel do oczu,Rp
Deca-Durabolin,Nandroloni decanoas 50 mg,50 mg/ml,Roztwór do wstrzykiwań,Rp
Cortineff,Fludrocortisoni acetas 100 mcg,100 mcg,Tabletki,Rp
Cortineff ophtalm. 0.1%,Fludrocortisoni acetas 1 mg,1 mg/g,Maść do oczu,Rp
Cozaar,Losartanum kalicum 50 mg,50 mg,Tabletki powlekane,Rp
Cravisol,Melissae herbae intractum 32.02 g + Visci herbae intractum 13.88 g + Crataegi inflorescentiae intractum 46.26 g,(2.313 g + 1.601 g + 0.694 g)/5 ml,Płyn doustny,OTC
CromoHexal,Natrii cromoglicas 2.8 mg,2.8 mg/dawkę donosową,Aerozol do nosa. roztwór,OTC
Crotamiton Farmapol,Crotamitonum 10 g,100 mg/g,Maść,Rp
Crotamiton Farmapol,Crotamitonum 10 g,100 mg/g,Płyn do stosowania na skórę,Rp
Cusicrom 4%,Dinatrii cromoglicas 40 mg,40 mg/ml,Krople do oczu,Rp
Cynarex,Cynarae extractum siccum (3-5:1) 250 mg (ekstrahent - etanol 50% (v/v)),250 mg,Tabletki,OTC
Cutivate,Fluticasoni propionas 0.5 mg/g,0.5 mg/g,Krem,Rp
Cutivate,Fluticasoni propionas 0.005 g,0.05 mg/g,Maść,Rp
Cyclo-Progynova,Estradioli valeras tabletki białe - 2.000 mg + Norgestrel tabletki jasnobrązowe - 0.500 mg + Estradioli valeras tabletki jasnobrązowe - 2.000 mg,2 mg (białe). 2 mg + 0.5 mg (jasnobrązowe),Tabletki powlekane,Rp
Cyclonamine,Etamsylatum 250 mg,250 mg,Tabletki,Rp
Cyclonamine 12.5%,Etamsylatum 250 mg/2 ml,125 mg/ml,Roztwór do wstrzykiwań,Rp
Cytotec,Misoprostolum 200 mg,200 mcg,Tabletki,Rp
Encorton,Prednisonum 5 mg,5 mg,Tabletki,Rp
Dafnegin,Ciclopirox olaminum 100 mg,100 mg,Globulki dopochwowe,Rp
Dafnegin,Ciclopirox olaminum 1 g,10 mg/g,Krem dopochwowy,Rp
Daktarin,Miconazoli nitras 20 mg,20 mg/g,Krem,OTC
Verospiron,Spironolactonum 25 mg,25 mg,Tabletki,Rp
Dalacin C,Clindamycini palmitas 750 mg,75 mg/5 ml,Granulat do sporządzania syropu,Rp
Dalacin C,Clindamycini hydrochloridum 75 mg,75 mg,Kapsułki,Rp
Dalacin C,Clindamycini hydrochloridum 150 mg,150 mg,Kapsułki,Rp
Dalacin C,Clindamycinum 300 mg,300 mg,Kapsułki,Rp
Dalacin C,Clindamycini phosphas 178.2 mg,150 mg/ml,Roztwór do wstrzykiwań i infuzji,Rp
Dalacin T,Clindamycinum 10 mg,10 mg/ml,Emulsja na skórę,Rp
Titlodine,Tolterodini tartras 2 mg,2 mg,Kapsułki o przedłużonym uwalnianiu. twarde,Rp
Davercin,Erythromycini cyclocarbonas 25 mg,25 mg/ml,Roztwór na skórę,Rp
Davercin,Erythromycini cyclocarbonas 250 mg,250 mg,Tabletki powlekane,Rp
Debecylina,Benzathini benzylpenicillinum 1200000 j.m.,1200000 j.m.,Proszek do sporządzania zawiesiny do wstrzykiwań,Rp
Debelizyna,Dolichosi biflorum seminis extractum 65.45 g,654.5 mg/g,Pasta doustna,OTC
Decaldol,Haloperidoli decanoas 70.52 mg,50 mg/ml,Roztwór do wstrzykiwań,Rp
Decapeptyl Depot,Triptorelinum 4.12 mg,3.75 mg,Proszek i rozpuszczalnik do sporządzania zawiesiny do wstrzykiwań,Rp
Deflegmin Baby,Ambroxoli hydrochloridum,7.5 mg/ml,Krople doustne. roztwór,OTC
Deflegmin EFFECT,Ambroxoli hydrochloridum 30 mg,30 mg,Tabletki,OTC
Delacet,Delphinii consolidae tinctura 96 g,-,Płyn na skórę,OTC
Fortiven Gel,Heparinum natricum 100000 j.m./100 g,1000 j.m./g,Żel,OTC
Dentinox N,Chamomillae tinctura 1500 mg + Lidocaini hydrochloridum 34 mg + Macrogoli aether laurilicus 32 mg,15% + 0.34% + 0.32%,Żel do stosowania na dziąsła,OTC
Dentosept,Extractum compositum fluidum (0.65:1) ex (0.65:1) ex: Matricariae flore 2.0 cz.. Quercus cortice 2.0 cz.. Salviae folio 2.0 cz.. Arnica herba 1.0 cz.. Calami rhizomate 1.0 cz.. Menthae piperitae herba 1.0 cz.. Thymi herba 1.9 cz.. ekstrahent etanol 70% (v/v) + Matricariae flore ad 1 ml + Quercus cortice 2 cz. + Salviae folio 2 cz. + Arnica herba 200 mg/ml + Calami rhizomate 1.35 mg/ml + Menthae piperitae herba 1 cz. + Thymi herba (lodowaty) 1 mg/ml,-,Koncentrat do sporządzania roztworu do stosowania w jamie ustnej,OTC
Dentosept A,Menthae piperitae herba 1 cz. + Salviae folium 2 cz. + Calami rhizomate 1 cz. + Benzocainum 2 g + Arnica herba 1 cz. + Thymi herba 1 cz. + Quercus cortex 2 cz. + Matricariae flos 2 cz.,-,Płyn do stosowania w jamie ustnej,OTC
Depakine,Natrii valproas 5.764 g,288.2 mg/5 ml,Syrop,Rp
Elocom,Mometasoni furoas 1 mg,1 mg/g,Krem,Rp
Depakine Chrono 300,Natrii valproas 200 mg + Acidum valproicum 87 mg,200 mg + 87 mg,Tabletki powlekane o przedłużonym uwalnianiu,Rp
Lavistina,Betahistini dihydrochloridum 16 mg,16 mg,Tabletki,Rp
Depo-Medrol z Lidokainą,Methylprednisoloni acetas 40 mg/ml + Lidocaini hydrochloridum monohydricum 10 mg/ml,(40 mg + 10 mg)/ml,Zawiesina do wstrzykiwań,Rp
Puder Płynny Dermopur,Benzocainum 15 g/ 100 g,15 mg/g,Puder leczniczy,OTC
Dermosavit,Retinoli palmitas 500 j.m.,500 j.m./g,Maść,OTC
Elocom,Mometasoni furoas 1 mg,1 mg/g,Maść,Rp
Dermovate,Clobetasoli propionas 0.5 mg/g,0.5 mg/g,Maść,Rp
Dermovate,Clobetasoli propionas 0.05 %,0.5 mg/ml,Roztwór na skórę,Rp
Dermovit F,Vitaminum F 2.5 g,25 mg/g,Maść,OTC
Dernilan,Camphora racemica 1 g + Allantoinum 300 mg + Nicotynamidum 250 mg + Acidum salicylicum 100 mg,-,Maść,OTC
Desferal,Desferoxamini mesilas 500 mg,500 mg,Proszek do sporządzania roztworu do wstrzykiwań,Rp
Detreomycyna 1%,Chloramphenicolum 10 mg/g,10 mg/g,Maść,Rp
Detreomycyna 2%,Chloramphenicolum 20 mg,20 mg/g,Maść,Rp
Devisol-25,Calcifediolum 1.5 mg,150 mcg/ml,Krople doustne. roztwór,Rp
Dexamethason WZF 0.1%,Dexamethasonum 1 mg,1 mg/ml,Krople do oczu. zawiesina,Rp
Pabi-Dexamethason,Dexamethasonum 500 mcg,500 mcg,Tabletki,Rp
Pabi-Dexamethason,Dexamethasonum 1 mg,1 mg,Tabletki,Rp
Dexamytrex,Gentamicini sulfas 5 mg/ml + Dexamethasoni natrii phosphas 1 mg/ml,(5 mg + 1 mg)/ml,Krople do oczu. roztwór,Rp
Dexamytrex,Gentamicini sulfas 5 mg/g + Dexamethasonum 0.3 mg/g,(5 mg + 0.3 mg)/g,Maść do oczu,Rp
Dexapolcort,Dexamethasonum 0.28 mg/g,0.15 mg/ml,Aerozol na skórę. zawiesina,Rp
Dexapolcort N,Dexamethasonum 150 mcg/ml + Neomycini sulfas 750 mcg/ml,(150 mcg + 750 mcg)/ml,Aerozol na skórę. zawiesina,Rp
Dexaven,Dexamethasoni natrii phosphas 4.37 mg/ml,4 mg/ml,Roztwór do wstrzykiwań,Rp
Diabrezide,Gliclazidum 80 mg,80 mg,Tabletki,Rp
Diane - 35,Cyproteroni acetas 2 mg + Ethinylestradiolum 0.035 mg,2 mg + 0.035 mg,Tabletki powlekane,Rp
Dicloreum,Diclofenacum natricum 75 mg,25 mg/ml,Roztwór do wstrzykiwań,Rp
Dicloreum,Diclofenacum natricum 50 mg,50 mg,Tabletki powlekane dojelitowe,Rp
Dicloreum retard,Diclofenacum natricum 100 mg,100 mg,Tabletki o przedłużonym uwalnianiu,Rp
Dicortineff,Neomycinum 2500 j.m. + Gramicidinum 25 j.m. + Fludrocortisoni acetas 1 mg,(2 500 j.m. + 25 j.m. + 1 mg)/ml,Krople do oczu i uszu. zawiesina,Rp
Digestonic,Rosae caninae fructus extractum 2.34 g + Chamomillae extractum 2.34 g + Rhei radix extractum 2.36 g + Foeniculi fructus extractum 1.2 g + Hyperici herba extractum 4.7 g + Menthae piperitae folii extractum 2.34 g + Coriandri fructus extractum 1.2 g,-,Płyn doustny,OTC
Methadone Hydrochloride Molteni,Methadoni hydrochloridum 1 mg/ml,1 mg/ml,Syrop,Rpw
Digoxin WZF,Digoxinum 250 mcg,0.25 mg/ml,Roztwór do wstrzykiwań,Rp
Digoxin Teva,Digoxinum 0.25 mg/tabl.,250 mcg,Tabletki,Rp
Digoxin Teva,Digoxinum 100 mcg,100 mcg,Tabletki,Rp
Dihydroergotaminum Filofarm,Dihydroergocristini mesylas 0.03 g,2 mg/g,Roztwór doustny,Rp
Dilzem retard,Diltiazemi hydrochloridum 90 mg,90 mg,Tabletki o przedłużonym uwalnianiu,Rp
Diphergan,Promethazini hydrochloridum 10 mg,10 mg,Tabletki drażowane,Rp
Diphergan,Promethazini hydrochloridum 25 mg,25 mg,Tabletki drażowane,Rp
Diprogenta,Betamethasoni dipropionas 0.64 mg/g + Gentamicini sulfas 1 mg/g,(0.64 mg + 1 mg)/g,Krem,Rp
Diprogenta,Betamethasoni dipropionas 0.64 mg/g + Gentamicini sulfas 1 mg/g,0.64 mg/g + 1 mg/g,Maść,Rp
Diprolene,Betamethasoni dipropionas 0.64 mg/g,0.64 mg/g,Maść,Rp
Dipromal,Magnesii valproas 200 mg,200 mg,Tabletki powlekane,Rp
Diprophos,Betamethasoni dipropionas 6.43 mg/ml + Betamethasoni natrii phosphas 2.63 mg/ml,(6.43 mg + 2.63 mg)/ml,Zawiesina do wstrzykiwań,Rp
Diprosalic,Betamethasoni dipropionas 0.64 mg/g + Acidum salicylicum 30 mg/g,(0.64 mg + 30 mg)/g,Maść,Rp
Diprosalic,Betamethasoni dipropionas 0.64 mg/g + Acidum salicylicum 20 mg/g,(0.64 mg + 20 mg)/g,Płyn na skórę,Rp
Dissenten,Loperamidi hydrochloridum 2 mg,2 mg,Tabletki,Rp
DISTREPTAZA,Streptodornasum 1250 j.m. + Streptokinasum 15000 j.m.,1250 j.m. + 15000 j.m.,Czopki doodbytnicze,Rp
Biostrepta,Streptodornasum 1250 j.m. + Streptokinasum 15000 j.m.,1250 j.m. + 15000 j.m.,Czopki,Rp
Biostrepta,Streptokinasum 15000 j.m. + Streptodornasum 1250 j.m.,15000 j.m. + 1250 j.m.,Tabletki ulegające rozpadowi w jamie ustnej,Rp
Disulfiram WZF,Disulfiramum 100 mg,100 mg,Tabletki do implantacji,Rp
Eltroxin,Levothyroxinum natricum 100 mcg,100 mcg,Tabletki,Rp
Ditropan,Oxybutynini hydrochloridum 5 mg,5 mg,Tabletki,Rp
Diuramid,Acetazolamidum 250 mg,250 mg,Tabletki,Rp
Divascan,Iprazochromum 2.5 mg,2.5 mg,Tabletki,Rp
Baclofen Polpharma,Baclofenum 10 mg,10 mg,Tabletki,Rp
Dolcontral,Pethidini hydrochloridum 50 mg,50 mg/ml,Roztwór do wstrzykiwań,Rpw
Eltroxin,Levothyroxinum natricum 50 mcg,50 mcg,Tabletki,Rp
Dolomit VIS,Magnesii carbonas 32 mg jonów Mg2+ + Calcii carbonas 54 mg jonów Ca2+,32 mg Mg 2+ + 54 mg Ca 2+,Tabletki,OTC
Dolomit VIS,Magnesii carbonas 64 mg + Calcii carbonas 108 mg,64 mg Mg2+ + 108 mg Ca2+,Tabletki,OTC
Gripex Control,Paracetamolum 500 mg + Coffeinum 50 mg,500 mg + 50 mg,Tabletki,OTC
Dopegyt,Methyldopum 282 mg,250 mg,Tabletki,Rp
Dormicum,Midazolami maleas 20.4 mg,15 mg,Tabletki powlekane,Rp
Dormicum,Midazolami maleas 10.2 mg,7.5 mg,Tabletki powlekane,Rp
Doxepin Teva,Doxepini hydrochloridum 11.3 mg,10 mg,Kapsułki twarde,Rp
Doxepin Teva,Doxepini hydrochloridum 28.25 mg,25 mg,Kapsułki twarde,Rp
Doxycyclinum TZF,Doxycyclinum 100 mg,100 mg,Kapsułki twarde,Rp
Duomox,Amoxicillinum 250 mg,250 mg,Tabletki do sporządzania zawiesiny doustnej,Rp
Duomox,Amoxicillinum 375 mg,375 mg,Tabletki do sporządzania zawiesiny doustnej,Rp
Duomox,Amoxicillinum 500 mg,500 mg,Tabletki do sporządzania zawiesiny doustnej,Rp
Duomox,Amoxicillinum 750 mg,750 mg,Tabletki do sporządzania zawiesiny doustnej,Rp
Duomox,Amoxicillinum 1000 mg,1 g,Tabletki do sporządzania zawiesiny doustnej,Rp
Duracef,Cefadroxilum 3 g,250 mg/5 ml,Proszek do sporządzania zawiesiny doustnej,Rp
Duracef,Cefadroxilum 6 g,500 mg/5 ml,Proszek do sporządzania zawiesiny doustnej,Rp
Duracef,Cefadroxilum 505 mg,500 mg,Kapsułki,Rp
Duspatalin Gastro,Mebeverini hydrochloridum 135 mg,135 mg,Tabletki,OTC
Echinapur,Echinaceae purpureae herbae extractum siccum 50 mg/g,50 mg/g,Maść,OTC
Echinapur,Echinaceae purpureae herbae extractum siccum 100 mg,100 mg,Tabletka powlekana,OTC
Ecomer,Olej z wątroby rekina 250 mg,250 mg,Kapsułki miękkie,OTC
Fervex ból i gorączka baby,Paracetamolum 80 mg/1000 mg,80 mg,Czopki doodbytnicze,OTC
Fervex ból i gorączka baby,Paracetamolum 150 mg,150 mg,Czopki doodbytnicze,OTC
Fervex ból i gorączka kids,Paracetamolum 300 mg/ 1300 mg,300 mg,Czopki doodbytnicze,OTC
Fervex ból i gorączka,Paracetamolum 500 mg,500 mg,Tabletki musujące,OTC
Fervex ból i gorączka C Plus,Paracetamolum 330 mg + Acidum ascorbicum 200 mg,330 mg + 200 mg,Tabletki musujące,OTC
Effortil,Etilefrini hydrochloridum 7.5 mg/ml,7.5 mg/g,Krople doustne,Rp
Effox long 50,Mieszanina monoazotanu izosorbidu z laktozą (90/10) 55.556 mg,50 mg,Tabletki o przedłużonym uwalnianiu,Rp
Efrinol 1%,Ephedrini hydrochloridum 1 g,10 mg/g,Krople do nosa. roztwór,Rp
Efudix,Fluorouracilum 50 mg/g,50 mg/g,Krem,Rp
Elenium,Chlordiazepoxidum 5 mg,5 mg,Tabletki drażowane,Rp
Elenium,Chlordiazepoxidum 10 mg,10 mg,Tabletki drażowane,Rp
Elenium,Chlordiazepoxidum 25 mg,25 mg,Tabletki drażowane,Rp
Elmex,Olaflurum (Aminofluorek 297) 30.32 mg + Dectaflurum (Aminofluorek 335) 2.87 mg + Natrii fluoridum 22.1 mg,12.5 mg fluoru/g,Żel,OTC
Zovirax Active,Aciclovirum 200 mg,200 mg,Tabletki,OTC
EMLA,Lidocainum 25 mg/g + Prilocainum 25 mg/g,25 mg/g + 25 mg/g,Krem,Rp
Enarenal,Enalaprili maleas 5 mg,5 mg,Tabletki,Rp
Enarenal,Enalaprili maleas 10 mg,10 mg,Tabletki,Rp
Enarenal,Enalaprili maleas 20 mg,20 mg,Tabletki,Rp
Ultrapiryna,Acidum acetylsalicylicum 325 mg,325 mg,Tabletki dojelitowe,OTC
Encortolon,Prednisolonum 5 mg,5 mg,Tabletki,Rp
Encorton,Prednisonum 1 mg,1 mg,Tabletki,Rp
Palexia,Tapentadolum 100 mg,100 mg,Tabletki powlekane,Rpw
Endoxan,Cyclophosphamidum 50 mg,50 mg,Tabletki drażowane,Rp
Enema,Dinatrii phosphas dodecahydricus 32.2 mg/ml + Natrii dihydrophosphas 139 mg/ml,(32.2 mg + 139 mg)/ml,Roztwór doodbytniczy,OTC
Gastrovit TraviComplex,Salicis cortex 2 cz. + Thymi herba 1 cz. + Millefolii herba 1 cz. + Quercus cortex 2 cz. + Salviae herba 2 cz. + Artemisiae abrotani herba 2 cz.,-,Płyn doustny,OTC
Epitoram,Topiramatum 25 mg,25 mg,Tabletki powlekane,Rp
Ergotaminum Filofarm,Ergotamini tartras 1 mg,1 mg,Tabletki drażowane,Rp
Erythromycinum TZF,Erythromycinum,200 mg,Tabletki powlekane,Rp
Esceven,Hippocastani seminis extractum 83.5 mg/g + Heparinum natricum 0.42 mg/g,(83.5 mg + 0.42 mg)/g,Żel,OTC
Espumisan,symetykon 40 mg,40 mg,Kapsułki,OTC
Esputicon,Dimeticonum 350 980 mg/g,980 mg/g,Krople doustne,OTC
Essentiale forte,Fosfolipidy z nasion sojowych zawierające (3-sn-fosfatydylo)cholinę 300 mg,300 mg,Kapsułki,OTC
Estazolam TZF,Estazolamum 2 mg,2 mg,Tabletki,Rp
Estrofem,Estradiolum 2.07 mg,2 mg,Tabletki powlekane,Rp
Etopiryna,Acidum acetylsalicylicum 300 mg + Ethoxybenzamidum 100 mg + Coffeinum 50 mg,300 mg + 100 mg + 50 mg,Tabletki,OTC
Exacyl,Acidum tranexamicum 500 mg,100 mg/ml,Roztwór do wstrzykiwań,Rp
Exacyl,Acidum tranexamicum 1000 mg,100 mg/ml,Roztwór doustny,Rp
Exacyl,Acidum tranexamicum 500 mg,500 mg,Tabletki powlekane,Rp
Famotydyna Ranigast,Famotidinum 20 mg,20 mg,Tabletki powlekane,OTC
Famogast,Famotidinum 40 mg,40 mg,Tabletki powlekane,Rp
Feiba NF,Białko ludzkiego osocza do uzyskania pH w granicach 7.2 - 7.9,500 j.m. = 500 j. FEIBA,Proszek i rozpuszczalnik do sporządzania roztworu do wstrzykiwań,Rp
Feldene,Piroxicamum 20 mg/ml,20 mg/ml,Roztwór do wstrzykiwań,Rp
Fenactil,Chlorpromazini hydrochloridum 25 mg,25 mg/ml,Roztwór do wstrzykiwań,Rp
Fenactil,Chlorpromazini hydrochloridum 40 mg,40 mg/g,Krople doustne. roztwór,Rp
Fenistil,Dimetindeni maleas 100 mg,1 mg/ml,Krople doustne. roztwór,OTC
Fenistil,Dimetindeni maleas 1 mg,1 mg/g,Żel,OTC
Ferrum-Lek,Ferri hydroxidum dextranum 100 mg Fe+++,50 mg Fe3+/ml,Roztwór do wstrzykiwań,Rp
Fevarin,Fluvoxamini maleas 50 mg,50 mg,Tabletki powlekane,Rp
Fevarin,Fluvoxamini maleas 100 mg,100 mg,Tabletki powlekane,Rp
Flegamina Classic,Bromhexini hydrochloridum 8 mg,8 mg,Tabletki,OTC
Flixonase,Fluticasoni propionas 0.05 g,50 mcg/dawkę inh.,Aerozol do nosa. zawiesina,Rp
Fluanxol Depot,Flupentixoli decanoas 20 mg/ml,20 mg/ml,Roztwór do wstrzykiwań,Rp
Flucinar,Fluocinoloni acetonidum 0.25 mg,0.25 mg/g,Maść,Rp
Flucinar,Fluocinoloni acetonidum 0.25 mg,0.25 mg/g,Żel,Rp
Flucinar N,Fluocinoloni acetonidum 0.25 mg/g + Neomycini sulfas 5 mg/g,(0.25 mg + 5 mg)/g,Maść,Rp
Flucon,Fluorometholonum 1 mg,1 mg/ml,Krople do oczu. zawiesina,Rp
Flunarizinum WZF,Flunarizini dihydrochloridum 5.9 mg,5 mg,Tabletki,Rp
Fluormex,Aminofluorowodorek 133 mg/g,133 mg/g,Płyn stomatologiczny,Rp
Fluormex,Aminofluorowodorek 3.032 g + Natrii fluoridum 2.21 g,(33.19 mg + 22.1 mg)/g,Żel,OTC
Flutamid Egis,Flutamidum 250 mg,250 mg,Tabletki,Rp
Fraxiparine,Nadroparinum calcicum 5700 j.m./0.6 ml,5700 j.m.a.Xa/0.6 ml,Roztwór do wstrzykiwań,Rp
Fraxiparine,Nadroparinum calcicum 9500 j.m.,9500 j.m. a.Xa/ml,Roztwór do wstrzykiwań,Rp
Fraxiparine,Nadroparinum calcicum 2850 j.m./0.3 ml,2850 j.m. a.Xa/0.3 ml,Roztwór do wstrzykiwań,Rp
Frisium 10,Clobasamum 10 mg,10 mg,Tabletki,Rp
Furaginum Adamed,Furaginum (50%) 0.1 mg,50 mg,Tabletki,Rp
Furosemidum Polpharma,Furosemidum 20 mg,10 mg/ml,Roztwór do wstrzykiwań,Rp
